Day,Cash On Hand
11,84829
12,364551
13,262141
14,293930
15,299083
16,362979
17,83505
18,726355
19,126469
20,541257
21,1579443
22,1922533
23,1339266
24,131084
25,565974
26,437812
27,460143
28,2576501
29,552807
30,904736
31,887449
32,894375
33,1680345
34,3534483
35,3518332
36,7710681
37,8118092
38,8488998
39,8835575
40,8962204
41,9236179
42,12770145
43,12271768
44,14599377
45,16498973
46,16461208
47,16661768
48,17448138
49,17385379
50,17550097
51,18885881
52,19332537
53,20432629
54,22554961
55,22996261
56,23408839
57,23786414
58,21256166
59,23361127
60,23983049
61,24680443
62,25570127
63,24153607
64,24698765
65,25886706
66,26565572
67,28282542
68,28254526
69,29319405
70,35691279
71,37141844
72,38707606
73,38580840
74,39035448
75,37873237
76,39757090
77,37956307
78,38629477
79,40735746
80,41397354
81,43530506
82,45670867
83,46442041
84,47784609
85,49973936
86,50215447
87,49763422
88,50375660
89,50761185
90,51216537
